"seqnames","start","end","width","strand","gene_id","gene_type","gene_name","full_name","ENTREZID","logFC","AveExpr","P.Value","adj.P.val"
"chr9",120902393,120929173,26781,"-","ENSG00000056558.11","protein_coding","TRAF1","TNF receptor associated factor 1","7185",5.15671318667975,9.3214058802521,9.52209885085878e-12,2.38867701404995e-09
"chr22",39519695,39522685,2991,"+","ENSG00000128272.14","protein_coding","ATF4","activating transcription factor 4","468",2.43233553599612,7.67867908212702,9.6545598540566e-12,2.38867701404995e-09
"chr6",159725585,159756319,30735,"+","ENSG00000146457.16","protein_coding","WTAP","WT1 associated protein","9589",3.95194124957569,8.9863472398936,1.0031540620354e-11,2.38867701404995e-09
"chr2",113107214,113134016,26803,"+","ENSG00000136689.18","protein_coding","IL1RN","interleukin 1 receptor antagonist","3557",9.90526419698041,8.30936933586109,9.93251851528783e-12,2.38867701404995e-09
"chr6",18387350,18468870,81521,"+","ENSG00000137393.10","protein_coding","RNF144B","ring finger protein 144B","255488",4.57249104747762,8.43724331352546,1.05119822612273e-11,2.38878846144522e-09
"chr6",14117256,14136918,19663,"+","ENSG00000112149.10","protein_coding","CD83","CD83 molecule","9308",5.61457370761761,8.97130561035509,1.05643414719468e-11,2.38878846144522e-09
"chr13",38349849,38363619,13771,"+","ENSG00000120686.12","protein_coding","UFM1","ubiquitin fold modifier 1","51569",2.30249149642326,7.38701902535263,1.07008092344435e-11,2.38878846144522e-09
"chr2",191029576,191151596,122021,"-","ENSG00000138378.19","protein_coding","STAT4","signal transducer and activator of transcription 4","6775",8.58594327256804,4.25403872684883,6.18772164925605e-12,2.1048566476886e-09
"chr17",8967523,8976995,9473,"+","ENSG00000265975.1","lncRNA","AC002091.1",NA,NA,3.58886684823609,3.41644011682381,9.15922602910372e-12,2.38867701404995e-09
"chr5",160438594,160487426,48833,"+","ENSG00000253522.6","lncRNA","MIR3142HG","MIR3142 host gene","107075116",5.84011362383114,4.76626658376898,9.976645728796e-12,2.38867701404995e-09
"chr3",171600404,171810950,210547,"-","ENSG00000075651.16","protein_coding","PLD1","phospholipase D1","5337",5.17019181106863,4.07096563782397,1.04422312054069e-11,2.38878846144522e-09
"chr2",112773925,112784493,10569,"-","ENSG00000115008.6","protein_coding","IL1A","interleukin 1 alpha","3552",11.8622431528129,7.11184465933177,9.97520765057122e-12,2.38867701404995e-09
"chr14",50632058,50668306,36249,"-","ENSG00000151748.15","protein_coding","SAV1","salvador family WW domain containing protein 1","60485",3.63165192407768,6.51928732235196,1.29592705510418e-11,2.68332026612657e-09
"chr4",8182072,8241803,59732,"+","ENSG00000125089.17","protein_coding","SH3TC1","SH3 domain and tetratricopeptide repeats 1","54436",-4.48755748424188,5.55594219884425,1.20105053817466e-11,2.54447418229883e-09
"chr6",36027677,36111236,83560,"+","ENSG00000112062.10","protein_coding","MAPK14","mitogen-activated protein kinase 14","1432",-4.14321817363821,5.02996140916596,1.21106071530986e-11,2.54447418229883e-09
"chr10",18659431,18681639,22209,"+","ENSG00000165997.5","protein_coding","ARL5B","ADP ribosylation factor like GTPase 5B","221079",5.01430559061856,6.64666142944858,1.35527793948159e-11,2.72716280582725e-09
"chr1",206767602,206774541,6940,"-","ENSG00000136634.7","protein_coding","IL10","interleukin 10","3586",6.88998927336675,4.68410240226759,1.18500952418624e-11,2.54447418229883e-09
"chr8",21919662,22006585,86924,"+","ENSG00000130227.17","protein_coding","XPO7","exportin 7","23039",-4.04453541673547,4.27538902016852,1.18232678435146e-11,2.54447418229883e-09
"chr2",190880821,190965552,84732,"+","ENSG00000115419.13","protein_coding","GLS","glutaminase","2744",3.95240396853091,7.35311085466677,1.46269585272589e-11,2.88120478057395e-09
"chr22",49960768,49964072,3305,"+","ENSG00000198355.5","protein_coding","PIM3","Pim-3 proto-oncogene, serine/threonine kinase","415116",3.80730525514482,7.84512074981417,1.47216314818995e-11,2.88120478057395e-09
"chr5",138553756,138575416,21661,"-","ENSG00000113013.15","protein_coding","HSPA9","heat shock protein family A (Hsp70) member 9","3313",2.04636812692886,7.98468582237371,1.71225973965479e-11,3.25130225414987e-09
"chr22",28794555,28800597,6043,"-","ENSG00000100219.16","protein_coding","XBP1","X-box binding protein 1","7494",3.25139959253245,8.90477350392922,1.72332409554162e-11,3.25130225414987e-09
"chr16",50246137,50318135,71999,"+","ENSG00000121281.13","protein_coding","ADCY7","adenylate cyclase 7","113",-3.52100163560275,5.33527983176777,1.73976737381306e-11,3.25130225414987e-09
"chr12",89588049,89709300,121252,"-","ENSG00000070961.15","protein_coding","ATP2B1","ATPase plasma membrane Ca2+ transporting 1","490",4.57677870888768,9.6879393906631,1.7804052249349e-11,3.25130225414987e-09
"chrX",132023302,132075943,52642,"+","ENSG00000134602.16","protein_coding","STK26","serine/threonine kinase 26","51765",3.91684538300241,5.38482910453818,1.79780834379393e-11,3.25130225414987e-09
"chr7",25118656,25125260,6605,"-","ENSG00000172115.9","protein_coding","CYCS","cytochrome c, somatic","54205",2.65223514129753,7.02865840261183,1.85863956740913e-11,3.31929793744678e-09
"chr3",53884417,53891962,7546,"-","ENSG00000113811.11","protein_coding","SELENOK","selenoprotein K","58515",3.09982542639268,5.82810285816566,1.88906271951583e-11,3.33198013255835e-09
"chr5",136028988,136063818,34831,"+","ENSG00000120708.17","protein_coding","TGFBI","transforming growth factor beta induced","7045",-4.31857462290844,8.65672203132699,1.99099660718874e-11,3.46894738132995e-09
"chr11",67266473,67286556,20084,"+","ENSG00000173020.11","protein_coding","GRK2","G protein-coupled receptor kinase 2","156",-3.16482332047531,6.35276827899588,2.01530670763149e-11,3.46899842553387e-09
"chr1",37809574,37859592,50019,"-","ENSG00000188786.10","protein_coding","MTF1","metal regulatory transcription factor 1","4520",3.14212377522787,8.30646815652531,2.07457854356886e-11,3.52851233952003e-09
"chr10",84328586,84518521,189936,"+","ENSG00000107771.17","protein_coding","CCSER2","coiled-coil serine rich protein 2","54462",2.40054463481639,6.47040783282974,2.16161158126559e-11,3.59104007692342e-09
"chr13",36301638,36370180,68543,"-","ENSG00000133104.14","protein_coding","SPART","spartin","23111",2.33968863728484,7.27398651882373,2.4104067454244e-11,3.913350133168e-09
"chr1",220879431,220885059,5629,"+","ENSG00000136630.13","protein_coding","HLX","H2.0 like homeobox","3142",3.67521190746238,4.03104819258932,2.35659812293412e-11,3.86996751521377e-09
"chr17",70168673,70180044,11372,"+","ENSG00000123700.5","protein_coding","KCNJ2","potassium inwardly rectifying channel subfamily J member 2","3759",7.93661957713887,5.14453660592341,2.14442664632181e-11,3.59104007692342e-09
"chr10",103446786,103452402,5617,"-","ENSG00000138172.11","protein_coding","CALHM2","calcium homeostasis modulator family member 2","51063",-6.77884112111405,4.04699531878641,1.34999024156479e-11,2.72716280582725e-09
"chr1",160739057,160754821,15765,"+","ENSG00000026751.17","protein_coding","SLAMF7","SLAM family member 7","57823",6.74442483247596,9.06216475232834,2.63392627975097e-11,4.22819154593282e-09
"chr9",470291,746106,275816,"+","ENSG00000107104.19","protein_coding","KANK1","KN motif and ankyrin repeat domains 1","23189",6.61529157804439,7.41725281952886,2.77916585175307e-11,4.25608879944195e-09
"chr6",157700387,157945077,244691,"+","ENSG00000130340.16","protein_coding","SNX9","sorting nexin 9","51429",4.83381485661263,7.79946314924218,2.83012641191509e-11,4.25608879944195e-09
"chr14",103333544,103345025,11482,"+","ENSG00000100664.11","protein_coding","EIF5","eukaryotic translation initiation factor 5","1983",2.19049974773661,9.15714592162268,2.85432119113499e-11,4.25608879944195e-09
"chr11",67289300,67302485,13186,"+","ENSG00000172932.16","protein_coding","ANKRD13D","ankyrin repeat domain 13D","338692",-4.61119084157387,3.21532426414167,1.77311647395809e-11,3.25130225414987e-09
"chr17",78356778,78360077,3300,"-","ENSG00000184557.4","protein_coding","SOCS3","suppressor of cytokine signaling 3","9021",8.17369063303416,8.27649543550447,2.94550384903177e-11,4.25608879944195e-09
"chr2",177227595,177392697,165103,"-","ENSG00000116044.16","protein_coding","NFE2L2","NFE2 like bZIP transcription factor 2","4780",2.16741173695093,9.58756621009424,2.9492041096434e-11,4.25608879944195e-09
"chr11",72814406,72843674,29269,"+","ENSG00000168010.11","protein_coding","ATG16L2","autophagy related 16 like 2","89849",-3.40295419835899,4.64480255231606,2.88810842282418e-11,4.25608879944195e-09
"chr1",65792514,66374579,582066,"+","ENSG00000184588.18","protein_coding","PDE4B","phosphodiesterase 4B","5142",7.18561980310335,6.11283971207684,2.88344503926265e-11,4.25608879944195e-09
"chr21",14371115,14383484,12370,"-","ENSG00000155304.6","protein_coding","HSPA13","heat shock protein family A (Hsp70) member 13","6782",2.77400731978118,6.70317401854107,3.02060174558753e-11,4.3155337139209e-09
"chr1",186671791,186680423,8633,"-","ENSG00000073756.12","protein_coding","PTGS2","prostaglandin-endoperoxide synthase 2","5743",10.144150476994,7.05152090629039,2.89522654196279e-11,4.25608879944195e-09
"chrX",47232866,47248328,15463,"+","ENSG00000102226.10","protein_coding","USP11","ubiquitin specific peptidase 11","8237",2.78729699327821,5.05744065920268,3.08142469504324e-11,4.33626247950331e-09
"chr1",209675412,209676390,979,"+","ENSG00000123689.6","protein_coding","G0S2","G0/G1 switch 2","50486",9.20208676732084,6.41526840602056,2.90557658434057e-11,4.25608879944195e-09
"chr9",126805006,126838210,33205,"+","ENSG00000169155.10","protein_coding","ZBTB43","zinc finger and BTB domain containing 43","23099",3.48557310378152,6.58783836967939,3.30298528781227e-11,4.53335701573969e-09
"chr17",29573469,29594054,20586,"-","ENSG00000108262.15","protein_coding","GIT1","GIT ArfGAP 1","28964",-4.10432183499447,4.26799334245261,2.89377414296312e-11,4.25608879944195e-09
"chr8",89757806,89791064,33259,"+","ENSG00000104312.8","protein_coding","RIPK2","receptor interacting serine/threonine kinase 2","8767",5.57182910280316,6.64547244125816,3.33171755198899e-11,4.53335701573969e-09
"chr19",10271093,10286615,15523,"+","ENSG00000090339.9","protein_coding","ICAM1","intercellular adhesion molecule 1","3383",3.41483646493909,9.28855825472594,3.31256760453351e-11,4.53335701573969e-09
"chr5",150777946,150796734,18789,"+","ENSG00000256235.2","protein_coding","SMIM3","small integral membrane protein 3","85027",4.42552504372695,5.23539683790206,3.42996784746151e-11,4.59624927955685e-09
"chr17",8965896,8967070,1175,"+","ENSG00000266389.1","lncRNA","AC002091.2",NA,NA,3.46150182833078,3.03183206976023,3.09581278721451e-11,4.33626247950331e-09
"chr13",95677139,95794988,117850,"+","ENSG00000102580.15","protein_coding","DNAJC3","DnaJ heat shock protein family (Hsp40) member C3","5611",2.51652761806218,8.27340140007531,3.63802081075213e-11,4.76847736910236e-09
"chr10",102394110,102402524,8415,"+","ENSG00000077150.20","protein_coding","NFKB2","nuclear factor kappa B subunit 2","4791",3.22727679678794,8.04505821952134,3.69660349330999e-11,4.80121582808362e-09
"chr20",1470741,1491587,20847,"-","ENSG00000196209.13","protein_coding","SIRPB2","signal regulatory protein beta 2","284759",-2.89342981248354,3.62598976872527,3.44228090510662e-11,4.59624927955685e-09
"chr6",137867214,137883312,16099,"+","ENSG00000118503.15","protein_coding","TNFAIP3","TNF alpha induced protein 3","7128",4.64962083462106,9.54107100976015,3.87900787755612e-11,4.94011856721202e-09
"chr1",241497603,241519755,22153,"-","ENSG00000091483.7","protein_coding","FH","fumarate hydratase","2271",3.07910272042964,5.63383076129737,3.90728213127289e-11,4.94011856721202e-09
"chr17",21284672,21315232,30561,"+","ENSG00000034152.19","protein_coding","MAP2K3","mitogen-activated protein kinase kinase 3","5606",3.98013541586369,8.00157659683634,3.9720304123334e-11,4.97792969307081e-09
"chr16",87830023,87869507,39485,"-","ENSG00000103257.9","protein_coding","SLC7A5","solute carrier family 7 member 5","8140",5.14003983786448,7.01971180598943,4.0796379212195e-11,5.06832930264896e-09
"chr6",108559835,108684774,124940,"+","ENSG00000118689.15","protein_coding","FOXO3","forkhead box O3","2309",2.38783418529593,6.73570954975291,4.23708632134375e-11,5.17827173783654e-09
"chr19",40717112,40740860,23749,"+","ENSG00000086544.3","protein_coding","ITPKC","inositol-trisphosphate 3-kinase C","80271",3.13855735875701,4.95601906826777,4.39966187006967e-11,5.32694653709198e-09
"chr17",32142454,32253374,110921,"+","ENSG00000126858.18","protein_coding","RHOT1","ras homolog family member T1","55288",-3.61354286654128,3.54351007256922,3.81393297942464e-11,4.90897842135494e-09
"chr1",184790724,184974508,183785,"-","ENSG00000135842.17","protein_coding","NIBAN1","niban apoptosis regulator 1","116496",3.31486795262027,8.71892282551038,4.4514772991559e-11,5.3443912750454e-09
"chr12",54497752,54548243,50492,"+","ENSG00000123338.13","protein_coding","NCKAP1L","NCK associated protein 1 like","3071",-3.65288303115985,7.57979908494157,4.51856876271786e-11,5.37973265941251e-09
"chr17",45393902,45434421,40520,"-","ENSG00000159314.11","protein_coding","ARHGAP27","Rho GTPase activating protein 27","201176",-2.86693590060656,6.0746468391032,4.82283523403733e-11,5.64785631054848e-09
"chr5",159157409,159210053,52645,"-","ENSG00000145860.11","protein_coding","RNF145","ring finger protein 145","153830",2.89275408236757,7.5077615930635,4.7671530305297e-11,5.62878639232875e-09
"chr12",54369133,54391298,22166,"-","ENSG00000161642.17","protein_coding","ZNF385A","zinc finger protein 385A","25946",-4.35426315615424,3.87145402208983,4.24062289722738e-11,5.17827173783654e-09
"chr6",2887270,2903309,16040,"-","ENSG00000170542.6","protein_coding","SERPINB9","serpin family B member 9","5272",6.3596683874691,9.10151130981401,4.96884448828573e-11,5.77153505724701e-09
"chr1",181088700,181092900,4201,"+","ENSG00000162783.11","protein_coding","IER5","immediate early response 5","51278",3.07165252440998,7.58646831630494,5.0480445298943e-11,5.7974624131717e-09
"chr7",157335381,157417439,82059,"+","ENSG00000105993.15","protein_coding","DNAJB6","DnaJ heat shock protein family (Hsp40) member B6","10049",2.33411617621316,8.7685246824875,5.11290168726558e-11,5.7974624131717e-09
"chr2",9488486,9556732,68247,"-","ENSG00000151694.14","protein_coding","ADAM17","ADAM metallopeptidase domain 17","6868",2.28796134803795,8.21937479096404,5.18950987241948e-11,5.83799429505962e-09
"chr1",204403381,204411817,8437,"-","ENSG00000158615.9","protein_coding","PPP1R15B","protein phosphatase 1 regulatory subunit 15B","84919",2.39148236188023,7.72664861531187,5.23489689737489e-11,5.84304468537461e-09
"chr10",6144934,6254644,109711,"+","ENSG00000170525.21","protein_coding","PFKFB3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3","5209",5.11871582933068,9.18580146902609,5.50356490282962e-11,6.04841782820975e-09
"chr2",60881521,60931612,50092,"+","ENSG00000162924.15","protein_coding","REL","REL proto-oncogene, NF-kB subunit","5966",3.05065528060839,7.12409337854228,5.49064861411072e-11,6.04841782820975e-09
"chr13",28300346,28495145,194800,"-","ENSG00000102755.12","protein_coding","FLT1","fms related receptor tyrosine kinase 1","2321",7.32933039480258,6.9759832289092,5.847364554154e-11,6.29634890755541e-09
"chr2",106093303,106194339,101037,"-","ENSG00000115652.14","protein_coding","UXS1","UDP-glucuronate decarboxylase 1","80146",3.57986556970814,6.38810740267098,5.88312949801086e-11,6.29634890755541e-09
"chr2",161136908,161236230,99323,"+","ENSG00000136560.14","protein_coding","TANK","TRAF family member associated NFKB activator","10010",2.31198738539075,8.07321871393379,5.83236284473565e-11,6.29634890755541e-09
"chr3",40309707,40312424,2718,"+","ENSG00000114784.4","protein_coding","EIF1B","eukaryotic translation initiation factor 1B","10289",4.58552696095053,7.26691380338034,5.90544378534629e-11,6.29634890755541e-09
"chr22",41598028,41621043,23016,"-","ENSG00000100418.8","protein_coding","DESI1","desumoylating isopeptidase 1","27351",2.52614433895832,5.31094617317801,6.15474744646734e-11,6.51354642723547e-09
"chr22",42058334,42070842,12509,"-","ENSG00000198951.12","protein_coding","NAGA","alpha-N-acetylgalactosaminidase","4668",-2.94875179450331,6.75921648821271,6.37753950123367e-11,6.69969903339158e-09
"chr11",110093392,110171841,78450,"+","ENSG00000149289.11","protein_coding","ZC3H12C","zinc finger CCCH-type containing 12C","85463",4.44617183588742,6.16346701512818,6.46098900372561e-11,6.73782116030860e-09
"chr6",160991727,161117385,125659,"+","ENSG00000085511.20","protein_coding","MAP3K4","mitogen-activated protein kinase kinase kinase 4","4216",4.62263581696719,5.27672943173341,6.98542567625097e-11,7.10216987744633e-09
"chr13",32586452,32778019,191568,"+","ENSG00000083642.19","protein_coding","PDS5B","PDS5 cohesin associated factor B","23047",-2.53195981135508,5.19891782885842,7.13943787592993e-11,7.10216987744633e-09
"chr19",43646095,43670547,24453,"-","ENSG00000011422.12","protein_coding","PLAUR","plasminogen activator, urokinase receptor","5329",4.58737966665767,9.61703659300397,7.05556092397478e-11,7.10216987744633e-09
"chr3",194402672,194498364,95693,"-","ENSG00000133657.15","protein_coding","ATP13A3","ATPase 13A3","79572",3.47849708014278,10.5932073930827,7.08313012444612e-11,7.10216987744633e-09
"chr10",988434,1019932,31499,"+","ENSG00000107937.19","protein_coding","GTPBP4","GTP binding protein 4","23560",2.51550025728916,6.7261309712162,7.14293856357193e-11,7.10216987744633e-09
"chr8",89901849,89927888,26040,"+","ENSG00000164823.11","protein_coding","OSGIN2","oxidative stress induced growth inhibitor family member 2","734",2.48389146981852,6.70015663713274,7.1583429855972e-11,7.10216987744633e-09
"chr19",6737925,6751530,13606,"+","ENSG00000125733.18","protein_coding","TRIP10","thyroid hormone receptor interactor 10","9322",3.37090811455172,5.19376418634946,7.47823387804883e-11,7.31791283669066e-09
